Trial,RunNumber,TrialOnset,CueType,CueOffset,FixationDuration,FixationOnset,Calibration,TargetOnset,ReactionTime,FeedbackOnset,FeedbackValue,TrialEnd,OriginalITI,ExcessTime,AdjustedITI,IsWin,EndITItime,EarlyHit,CumulativeBlockTotal,TriggerTimestamp,LeadInStart,LeadOut
1,1,5.01260445697699,6,7.03724057698855,4.5,7.06882072397275,0.3,11.5738943840261,0.24495643901173,12.5863010149915,1,14.6032582020271,2,0.0932667679735459,1.90673323202645,1,16.5102529400028,0,1,263427.976914845,0.0521285110153258,NaN
2,1,16.5985612269724,3,18.6203339360072,3,18.6353192940005,0.3,21.6388931269757,0.279687762027606,22.6531145020272,0,24.6698801799794,2,0.159895706980024,1.84010429301998,1,26.5111299449927,0,1,263427.976914845,0.0521285110153258,NaN
3,1,26.5281398959924,7,28.5371656779898,1,28.551658671,0.3,29.5541678760201,0.283330828999169,30.5704494640231,3,32.5852058369783,4,0.0752736940048635,3.92472630599514,1,36.5107524840278,0,4,263427.976914845,0.0521285110153258,NaN
4,1,36.527434897027,8,38.5363423560048,5,38.5516989179887,0.28,43.5584646110074,0.254359522019513,44.5718160549877,5,46.5856358510209,2,0.0757014330010861,1.92429856699891,1,48.5104234819883,0,9,263427.976914845,0.0521285110153258,NaN
5,1,48.5264239630196,5,50.5532484800206,5,50.5682705930085,0.26,55.5736693529761,0.265332693990786,56.5939127730089,-9,58.6027512890287,2,0.0926972539746203,1.90730274602538,0,60.5111436789739,0,0,263427.976914845,0.0521285110153258,NaN
6,1,60.5307719850098,1,62.5364550710074,3.5,62.5511253720033,0.26,66.0596211720258,0.275641851010732,67.0732981209876,-1,69.0849312130013,6,0.0750031329807825,5.92499686701922,0,75.0104676890187,0,-1,263427.976914845,0.0521285110153258,NaN
7,1,75.0219129759935,2,77.0352789949975,4,77.0511092090164,0.26,81.0586385020288,0.289669186982792,82.0703346349765,-3,84.0851138019934,2,0.0751848889631219,1.92481511103688,0,86.0110049570212,0,-4,263427.976914845,0.0521285110153258,NaN
8,1,86.0222423059749,4,88.035031877982,1.5,88.0508027650067,0.26,NaN,NaN,88.6228485049796,-7,92.5631424519815,6,0.0532138419803232,5.94678615801968,0,98.510525152029,1,-11,263427.976914845,0.0521285110153258,NaN
9,1,98.5212227960001,9,100.535304455028,4.5,100.550749376009,0.28,105.051628347021,0.251846847007982,106.068187655008,7,108.084514582006,2,0.0745863679912873,1.92541363200871,1,110.010543796001,0,-4,263427.976914845,0.0521285110153258,NaN
10,1,110.021630592004,10,112.034786752018,4.5,112.050721408974,0.28,116.555132232024,0.25563227199018,117.570477195026,9,119.584470255009,4,0.0745414539705962,3.9254585460294,1,123.510841412004,0,5,263427.976914845,0.0521285110153258,NaN
11,1,123.522224566026,6,125.534073719988,1,125.550667134987,0.28,126.554006916005,0.378643030999228,127.572250998986,0,129.58441344701,2,0.0744854079675861,1.92551459203241,0,131.510637341999,0,5,263427.976914845,0.0521285110153258,NaN
12,1,131.525208331994,1,133.535455761012,3,133.550548947009,0.3,136.552964073024,0.303515136009082,137.571130249009,-1,139.584706405993,4,0.0747742420062423,3.92522575799376,0,143.510586717981,0,4,263427.976914845,0.0521285110153258,NaN
13,1,143.520785255998,7,145.533489251975,1.5,145.550200607977,0.32,147.057244796015,0.398992507020012,148.072448863008,0,150.08382940403,2,0.0738984670024365,1.92610153299756,0,152.011075423972,0,4,263427.976914845,0.0521285110153258,NaN
14,1,152.022312354995,4,154.034082581988,3,154.050141538028,0.34,157.053482954972,0.356175504042767,158.069235022005,-7,160.084783999017,4,0.0748528309632093,3.92514716903679,0,164.01063484,0,-3,263427.976914845,0.0521285110153258,NaN
15,1,164.021822533978,9,166.033361113979,3.5,166.049953927984,0.36,169.557082758984,0.522152547026053,170.568315392011,0,172.583799962013,4,0.0738710429868661,3.92612895701313,0,176.510008134006,0,-3,263427.976914845,0.0521285110153258,NaN
16,1,176.521376518998,5,178.533802320017,1,178.549749178987,0.38,179.550899743976,0.233114908973221,180.572372197988,0,182.582924960996,6,0.0729975529829971,5.927002447017,1,188.511018323014,0,-3,263427.976914845,0.0521285110153258,NaN
17,1,188.522189878975,8,190.533335967979,2,190.549415607995,0.38,192.550308678998,0.256440718017984,193.573512153002,5,195.583735193999,6,0.0738039359566756,5.92619606404332,1,201.510956694023,0,2,263427.976914845,0.0521285110153258,NaN
18,1,201.522219316976,3,203.534487576981,2,203.549576884019,0.38,205.557644556975,0.225709299964365,206.568541029992,0,208.582886034972,4,0.072957944998052,3.92704205500195,1,212.510646894982,0,2,263427.976914845,0.0521285110153258,NaN
19,1,212.522001201985,10,214.532953530026,1.5,214.549212972983,0.38,216.055822358001,0.315510125015862,217.071215478005,9,219.083278145001,4,0.0733385579660535,3.92666144203395,1,223.011010625982,0,11,263427.976914845,0.0521285110153258,NaN
20,1,223.022282520018,2,225.034190186008,3,225.048952420009,0.38,228.057430471992,0.274858748016413,229.066100734985,0,231.083078276017,6,0.0731492709601298,5.92685072903987,1,237.010439304984,0,11,263427.976914845,0.0521285110153258,NaN
21,1,237.020262604987,5,239.033683019981,1.5,239.048927391006,0.38,240.556653407984,0.254940677026752,241.570490986982,0,243.582430371025,6,0.0724990149610676,5.92750098503893,1,249.510636155028,0,11,263427.976914845,0.0521285110153258,NaN
22,1,249.520245363994,2,251.532587671012,2,251.548764975974,0.38,253.554124157003,0.269173749024048,254.567080006993,0,256.582699764986,6,0.072771676001139,5.92722832399886,1,262.510326164018,0,11,263427.976914845,0.0521285110153258,NaN
23,1,262.52401150699,1,264.533139657986,2,264.548563482007,0.36,266.551729727013,0.433251678012311,267.568610672024,-1,269.582870978978,4,0.0729419909766875,3.92705800902331,0,273.510406572022,0,10,263427.976914845,0.0521285110153258,NaN
